Wavelength,INOK-1,INOK-2,INOK-3,INOK-4,INOK-5,YD10B-1,YD10B-2,YD10B-3,YD10B-4,YD10B-5
11.39295,0.859447957,0.688074131,0.563222577,0.340615263,0.227983528,0.151751046,0.182999719,0.202360812,0.367027387,0.423656569
11.3931,0.860823367,0.689061723,0.563955489,0.340961822,0.228174212,0.150908235,0.181879839,0.201056477,0.363818608,0.419672763
11.39325,0.862202037,0.690051414,0.564689812,0.341308901,0.228365131,0.150072676,0.180770536,0.199765091,0.360652605,0.415745956
11.3934,0.863583976,0.691043207,0.565425549,0.341656501,0.228556285,0.149244285,0.179671676,0.198486483,0.35752862,0.411875062
11.39355,0.864969195,0.692037111,0.566162704,0.342004624,0.228747674,0.148422981,0.178583127,0.197220483,0.354445909,0.408059023
11.3937,0.866357705,0.69303313,0.56690128,0.34235327,0.228939299,0.147608681,0.177504761,0.195966927,0.351403745,0.404296803
11.39385,0.867749515,0.694031271,0.567641281,0.34270244,0.229131159,0.146801307,0.176436449,0.19472565,0.348401419,0.400587392
11.394,0.869144636,0.69503154,0.568382711,0.343052135,0.229323257,0.146000778,0.175378067,0.193496491,0.345438234,0.396929803
11.39415,0.870543078,0.696033942,0.569125573,0.343402357,0.229515591,0.145207019,0.174329491,0.192279293,0.342513512,0.393323072
11.3943,0.871944853,0.697038485,0.569869872,0.343753107,0.229708163,0.144419951,0.173290599,0.1910739,0.339626587,0.389766258
11.39445,0.87334997,0.698045172,0.57061561,0.344104384,0.229900972,0.143639499,0.172261273,0.189880158,0.336776808,0.386258441
11.3946,0.87475844,0.699054012,0.571362791,0.344456192,0.23009402,0.14286559,0.171241393,0.188697918,0.333963539,0.382798722
11.39475,0.876170273,0.70006501,0.572111419,0.34480853,0.230287306,0.142098149,0.170230845,0.187527031,0.331186155,0.379386222
11.3949,0.877585481,0.701078172,0.572861499,0.3451614,0.23048083,0.141337105,0.169229513,0.186367351,0.328444046,0.376020085
11.39505,0.879004074,0.702093504,0.573613032,0.345514802,0.230674594,0.140582385,0.168237286,0.185218736,0.325736617,0.37269947
11.3952,0.880426062,0.703111012,0.574366024,0.345868739,0.230868598,0.13983392,0.167254053,0.184081043,0.323063281,0.369423559
11.39535,0.881851457,0.704130703,0.575120479,0.34622321,0.231062841,0.139091639,0.166279705,0.182954134,0.320423467,0.366191548
11.3955,0.883280269,0.705152583,0.575876398,0.346578217,0.231257325,0.138355476,0.165314135,0.181837873,0.317816615,0.363002655
11.39565,0.88471251,0.706176658,0.576633788,0.346933761,0.23145205,0.137625361,0.164357235,0.180732124,0.315242176,0.359856114
11.3958,0.886148189,0.707202934,0.577392651,0.347289844,0.231647016,0.13690123,0.163408904,0.179636756,0.312699612,0.356751175
11.39595,0.887587319,0.708231418,0.578152991,0.347646465,0.231842223,0.136183015,0.162469037,0.178551639,0.310188397,0.353687106
11.3961,0.889029909,0.709262115,0.578914812,0.348003627,0.232037673,0.135470652,0.161537534,0.177476643,0.307708017,0.350663189
11.39625,0.890475972,0.710295033,0.579678118,0.34836133,0.232233365,0.134764078,0.160614295,0.176411642,0.305257966,0.347678724
11.3964,0.891925518,0.711330177,0.580442912,0.348719576,0.2324293,0.134063229,0.159699223,0.175356514,0.302837749,0.344733024
11.39655,0.893378558,0.712367554,0.581209199,0.349078365,0.232625477,0.133368044,0.15879222,0.174311134,0.300446883,0.34182542
11.3967,0.894835103,0.713407171,0.581976983,0.349437699,0.232821899,0.13267846,0.157893191,0.173275383,0.298084893,0.338955254
11.39685,0.896295165,0.714449033,0.582746266,0.349797578,0.233018564,0.131994418,0.157002042,0.172249141,0.295751313,0.336121885
11.397,0.897758755,0.715493147,0.583517054,0.350158005,0.233215474,0.131315858,0.156118682,0.171232293,0.293445689,0.333324682
11.39715,0.899225884,0.71653952,0.58428935,0.350518979,0.233412629,0.130642721,0.155243018,0.170224723,0.291167572,0.330563032
11.3973,0.900696564,0.717588157,0.585063157,0.350880502,0.233610029,0.12997495,0.154374962,0.169226319,0.288916526,0.327836332
11.39745,0.902170805,0.718639067,0.585838481,0.351242576,0.233807674,0.129312486,0.153514425,0.168236967,0.286692122,0.325143992
11.3976,0.90364862,0.719692254,0.586615324,0.351605201,0.234005566,0.128655273,0.152661319,0.16725656,0.284493938,0.322485435
11.39775,0.90513002,0.720747726,0.587393692,0.351968378,0.234203703,0.128003256,0.151815559,0.166284987,0.282321563,0.319860097
11.3979,0.906615016,0.72180549,0.588173586,0.352332108,0.234402088,0.127356379,0.150977061,0.165322144,0.280174592,0.317267423
11.39805,0.90810362,0.722865551,0.588955013,0.352696394,0.23460072,0.126714588,0.150145739,0.164367925,0.27805263,0.314706872
11.3982,0.909595844,0.723927916,0.589737975,0.353061234,0.2347996,0.126077831,0.149321514,0.163422227,0.275955287,0.312177914
11.39835,0.911091699,0.724992593,0.590522477,0.353426632,0.234998727,0.125446052,0.148504303,0.162484947,0.273882182,0.309680029
11.3985,0.912591197,0.726059587,0.591308523,0.353792588,0.235198103,0.124819202,0.147694026,0.161555987,0.271832942,0.307212707
11.39865,0.914094349,0.727128906,0.592096117,0.354159103,0.235397728,0.124197228,0.146890605,0.160635246,0.2698072,0.30477545
11.3988,0.915601169,0.728200555,0.592885262,0.354526178,0.235597602,0.123580079,0.146093962,0.159722628,0.267804597,0.30236777
11.39895,0.917111666,0.729274543,0.593675963,0.354893815,0.235797726,0.122967705,0.145304021,0.158818037,0.26582478,0.299989188
11.3991,0.918625854,0.730350876,0.594468224,0.355262014,0.2359981,0.122360057,0.144520706,0.157921378,0.263867402,0.297639235
11.39925,0.920143744,0.731429559,0.595262049,0.355630776,0.236198725,0.121757086,0.143743942,0.157032558,0.261932125,0.295317451
11.3994,0.921665348,0.732510601,0.596057442,0.356000104,0.2363996,0.121158743,0.142973657,0.156151486,0.260018616,0.293023387
11.39955,0.923190679,0.733594009,0.596854408,0.356369997,0.236600727,0.120564982,0.142209778,0.155278071,0.258126547,0.2907566
11.3997,0.924719748,0.734679788,0.597652949,0.356740458,0.236802105,0.119975754,0.141452234,0.154412224,0.256255599,0.288516658
11.39985,0.926252567,0.735767945,0.598453071,0.357111486,0.237003736,0.119391014,0.140700954,0.153553857,0.254405456,0.286303137
11.4,0.92778915,0.736858489,0.599254778,0.357483085,0.237205619,0.118810716,0.139955869,0.152702884,0.252575809,0.284115622
